"filename", "language", "XML", "Java", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\layout\moviehouselist_item.xml", "XML", 76, 0, 0, 4, 80
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\layout\movielist_item.xml", "XML", 130, 0, 0, 6, 136
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\layout\moviepplist_item.xml", "XML", 69, 0, 0, 8, 77
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\layout\order_form.xml", "XML", 489, 0, 0, 13, 502
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\layout\order_item.xml", "XML", 77, 0, 0, 4, 81
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\layout\order_pay.xml", "XML", 43, 0, 0, 1, 44
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 5, 0, 0, 0, 5
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 5, 0, 0, 0, 5
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\values-night\themes.xml", "XML", 11, 0, 5, 0, 16
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\values\colors.xml", "XML", 23, 0, 0, 1, 24
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\values\dimens.xml", "XML", 4, 0, 1, 0, 5
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\values\strings.xml", "XML", 12, 0, 1, 0, 13
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\values\styles.xml", "XML", 36, 0, 8, 6, 50
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\values\themes.xml", "XML", 16, 0, 5, 1, 22
"d:\GitBox\ticket_booking_system\Techprototype\code\client\app\src\main\res\xml\network_security_config.xml", "XML", 4, 0, 0, 0, 4
"Total", "-", 2127, 1883, 163, 697, 4870
