"filename", "language", "JavaScript", "CSS", "SCSS", "HTML", "Markdown", "XML", "Batch", "JSON", "Properties", "Java", "Less", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\business\order\service\impl\OrderServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 10, 38
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\entity\BaseEntity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\mapper\BaseMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 5, 16
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\page\PageList.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 3, 14
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\query\BaseQuery.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\result\ResultResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 3, 8, 43
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\service\IBaseService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 9, 19
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\java\cn\server\common\service\impl\BaseServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 9, 9, 42
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 5, 23
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\cn\itfxq\business\mapper\MenuMapper.xml", "XML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 4, 25, 108
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\cn\itfxq\business\mapper\MovieMapper.xml", "XML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 29, 72
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\cn\itfxq\business\mapper\OrderMapper.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 25, 57
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\cn\itfxq\business\mapper\PermissionMapper.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 19, 48
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\cn\itfxq\business\mapper\RoleMapper.xml", "XML", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 23, 88
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\cn\itfxq\business\mapper\UserMapper.xml", "XML", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 25, 98
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\api\movie.js", "JavaScript", 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 42, 417
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\api\order.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 151
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\api\user.js", "JavaScript", 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 25, 531
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\css\style.css", "CSS", 0, 2003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 365, 2448
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\js\main.js", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 35, 243
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\animate.css\animate.css", "CSS", 0, 3057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 558, 3626
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\animate.css\animate.min.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 11
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\aos\aos.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\aos\aos.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 3681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 211, 3899
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55, 327
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\css\bootstrap.css", "CSS", 0, 9016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1201, 10224
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 4586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1375, 1174, 7135
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 3347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 850, 4522
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\boxicons\css\animations.css", "CSS", 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 386
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\boxicons\css\boxicons.css", "CSS", 0, 4856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 4912
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\boxicons\css\boxicons.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\boxicons\css\transformations.css", "CSS", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\boxicons\fonts\boxicons.svg", "XML", 0, 0, 0, 0, 0, 1472, 0, 0, 0, 0, 0, 0, 0, 1472
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\icofont\icofont.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\isotope-layout\isotope.pkgd.js", "JavaScript", 2198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830, 536, 3564
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\isotope-layout\isotope.pkgd.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 12
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\jquery.easing\jquery.easing.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\jquery\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\README.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 43, 123
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\assets\owl.carousel.css", "CSS", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 187
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\assets\owl.carousel.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\assets\vendor\owl.carousel\assets\owl.theme.default.css", "CSS", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 51
